Request State,TTR(hr),Machine ID,Machine Name,Request ID,Requester,WO ID,Description,Location,JobTrade,JobTypeId,WorkerG,Worker,Priority
Finished,2 hr 21 min,ENUT-240091,Evapperator CDU2-UC2.1,MNT-00004422,1900231,WRKO-00005284,CU.2.1 Pressure drop,Buiding1,Cooling machine,Inspection,ENG,"",1
Finished,,ENUT-240114,Condencer Unit No.5,MNT-00004380,1900231,WRKO-00005237,CU.9 Pressure drop,Buiding1,Cooling machine,Inspection,ENG,"",1
Finished,,ENUT-240118,Condencer Unit No.6,MNT-00004379,1900231,WRKO-00005236,เปลี่ยนมอเตอร์ + ใบพัดลม condenser unit no.6,Buiding1,Cooling machine,Inspection,ENG,"",1
Finished,,ENUT-240127,Condencer Unit No.9 (COLD5),MNT-00004368,1900231,WRKO-00005224,CU.9 Pressure drop,Buiding1,Cooling machine,Inspection,ENG,"",1
Finished,,ENUT-240127,Condencer Unit No.9 (COLD5),MNT-00004390,1900231,WRKO-00005253,ซ่อมรอยรั่ว Cold room 5,Buiding1,Cooling machine,Inspection,ENG,"",1
Finished,183 hr 19 min,ENUT-240131,Evapperator CDU11-UC11.1,MNT-00004402,1900175,WRKO-00005265,แก้ไขแอร์ 11 . 1 เสียงพัดลมดัง ฝั่งดิบ,Buiding1,Cooling machine,Inspection,ENG,"",4
Finished,,ENUT-240144,Condencer Unit No.13,MNT-00004520,1900231,WRKO-00005387,เติมน้ำมันคอม CDU.13,Buiding1,Cooling machine,Inspection,ENG,"",1
Finished,,ENUT-240180,Condencer Unit No.23 (Air Blast Freezer1),MNT-00004449,1900231,WRKO-00005310,เปลี่ยนวาล์ว Air Blast No.1,Buiding1,Cooling machine,Inspection,ENG,"",1
Finished,,ENUT-240182,Condencer Unit No.24 (COLD6),MNT-00004433,1900231,WRKO-00005296,ต่อท่อเดน ร้อยสายฮีทเตอร์ Cold 6,Buiding1,Cooling machine,Inspection,ENG,"",1
Finished,,ENUT-240188,Condencer Unit No.29 (Air Blast Freezer2),MNT-00004432,1900231,WRKO-00005295,Air blast 2 Pressure drop,Buiding1,Cooling machine,Inspection,ENG,"",1
Finished,,ENUT-240218,ระบบเติมอากาศ ตัวที่1,MNT-00004506,1900231,WRKO-00005373,เติมน้ำยา Fresh air,Buiding1,Cooling machine,Inspection,ENG,"",1
Finished,10 hr 58 min,ENWA-240001,Container Office,MNT-00004366,1900254,WRKO-00005223,เปลี่ยนหลอดไฟห้องน้ำทีจอดรถผู้บริหาร,Work Area,Electrical system,Inspection,ENG,"",4
Finished,107 hr 18 min,ENWA-240002,Front Office,MNT-00004367,1900254,WRKO-00005225,ติดบอร์ดห้องผู้จัดการH.R,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,24 hr 20 min,ENWA-240002,Front Office,MNT-00004394,1900254,WRKO-00005258,ไฟไม่ติดตรงหน้าห้องน้ำR&D,Work Area,Electrical system,Inspection,ENG,"",4
Finished,,ENWA-240002,Front Office,MNT-00004462,1900254,WRKO-00005323,เชื่อมเหล็กรถเข็นขยะ,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,247 hr 4 min,ENWA-240004,Store Office,MNT-00004404,1900254,WRKO-00005267,ติดก๊อกน้ำเพิ่มตรงบริเวณห้องเก็บสารเคมีสโตร์,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,2 hr 49 min,ENWA-240005,Engineering Office,MNT-00004348,1900231,WRKO-00005201,เติม Bio ลดกลิ่นตะกอน,Work Area,Water system,Inspection,ENG,"",1
Finished,7 hr 18 min,ENWA-240005,Engineering Office,MNT-00004370,1900231,WRKO-00005227,เปลี่ยนบล็อกปลั๊กหน้าอาคารบอยเลอร์,Work Area,Electrical system,Inspection,ENG,"",1
Finished,,ENWA-240005,Engineering Office,MNT-00004430,1900231,WRKO-00005293,"ต่อสายยาง,ก๊อกน้ำล้าง condenser",Work Area,Tool and Equipment,Inspection,ENG,"",1
Finished,0 hr 3 min,ENWA-240008,Producton High Risk,MNT-00004362,1900175,WRKO-00005216,แก้ไขสายพานcheck weight เลื่อน ฝั่งสุก,Work Area,Production Machine,Inspection,ENG,"",4
