Timestamp,FIT-102-SoftWaterSupply-01_Total(m³)
09-Jan-26 7:00:00 PM ICT,6.0
09-Jan-26 8:00:00 PM ICT,6.0
09-Jan-26 9:00:00 PM ICT,6.0
09-Jan-26 10:00:00 PM ICT,6.0
09-Jan-26 11:00:00 PM ICT,6.0
10-Jan-26 12:00:00 AM ICT,6.0
10-Jan-26 1:00:00 AM ICT,6.0
10-Jan-26 2:00:00 AM ICT,6.0
10-Jan-26 3:00:00 AM ICT,6.0
10-Jan-26 4:00:00 AM ICT,6.0
10-Jan-26 5:00:00 AM ICT,6.0
10-Jan-26 6:00:00 AM ICT,6.0
10-Jan-26 7:00:00 AM ICT,6.0
10-Jan-26 8:00:00 AM ICT,6.0
10-Jan-26 9:00:00 AM ICT,6.0
10-Jan-26 10:00:00 AM ICT,6.0
10-Jan-26 11:00:00 AM ICT,6.0
10-Jan-26 12:00:00 PM ICT,6.0
10-Jan-26 1:00:00 PM ICT,6.0
10-Jan-26 2:00:00 PM ICT,6.0
10-Jan-26 3:00:00 PM ICT,6.0
10-Jan-26 4:00:00 PM ICT,6.0
10-Jan-26 5:00:00 PM ICT,6.0
10-Jan-26 6:00:00 PM ICT,6.0
10-Jan-26 7:00:00 PM ICT,6.0
10-Jan-26 8:00:00 PM ICT,6.0
10-Jan-26 9:00:00 PM ICT,6.0
10-Jan-26 10:00:00 PM ICT,6.0
10-Jan-26 11:00:00 PM ICT,6.0
11-Jan-26 12:00:00 AM ICT,6.0
11-Jan-26 1:00:00 AM ICT,6.0
11-Jan-26 2:00:00 AM ICT,6.0
11-Jan-26 3:00:00 AM ICT,6.0
11-Jan-26 4:00:00 AM ICT,6.0
11-Jan-26 5:00:00 AM ICT,6.0
11-Jan-26 6:00:00 AM ICT,6.0
11-Jan-26 7:00:00 AM ICT,6.0
11-Jan-26 8:00:00 AM ICT,6.0
11-Jan-26 9:00:00 AM ICT,6.0
11-Jan-26 10:00:00 AM ICT,6.0
11-Jan-26 11:00:00 AM ICT,6.0
11-Jan-26 12:00:00 PM ICT,6.0
11-Jan-26 1:00:00 PM ICT,6.0
11-Jan-26 2:00:00 PM ICT,6.0
11-Jan-26 3:00:00 PM ICT,6.0
11-Jan-26 4:00:00 PM ICT,6.0
11-Jan-26 5:00:00 PM ICT,6.0
11-Jan-26 6:00:00 PM ICT,6.0
11-Jan-26 7:00:00 PM ICT,6.0
11-Jan-26 8:00:00 PM ICT,6.0
11-Jan-26 9:00:00 PM ICT,6.0
11-Jan-26 10:00:00 PM ICT,6.0
11-Jan-26 11:00:00 PM ICT,6.0
12-Jan-26 12:00:00 AM ICT,6.0
12-Jan-26 1:00:00 AM ICT,6.0
12-Jan-26 2:00:00 AM ICT,6.0
12-Jan-26 3:00:00 AM ICT,6.0
12-Jan-26 4:00:00 AM ICT,6.0
12-Jan-26 5:00:00 AM ICT,6.0
12-Jan-26 6:00:00 AM ICT,6.0
12-Jan-26 7:00:00 AM ICT,6.0
12-Jan-26 8:00:00 AM ICT,6.0
12-Jan-26 9:00:00 AM ICT,6.0
12-Jan-26 10:00:00 AM ICT,6.0
12-Jan-26 11:00:00 AM ICT,6.0
12-Jan-26 12:00:00 PM ICT,6.0
12-Jan-26 1:00:00 PM ICT,6.0
12-Jan-26 2:00:00 PM ICT,6.0
12-Jan-26 3:00:00 PM ICT,6.0
12-Jan-26 4:00:00 PM ICT,6.0
12-Jan-26 5:00:00 PM ICT,6.0
12-Jan-26 6:00:00 PM ICT,6.0
12-Jan-26 7:00:00 PM ICT,6.0
12-Jan-26 8:00:00 PM ICT,6.0
12-Jan-26 9:00:00 PM ICT,6.0
12-Jan-26 10:00:00 PM ICT,6.0
12-Jan-26 11:00:00 PM ICT,6.0
13-Jan-26 12:00:00 AM ICT,6.0
13-Jan-26 1:00:00 AM ICT,6.0
13-Jan-26 2:00:00 AM ICT,6.0
13-Jan-26 3:00:00 AM ICT,6.0
13-Jan-26 4:00:00 AM ICT,6.0
13-Jan-26 5:00:00 AM ICT,6.0
13-Jan-26 6:00:00 AM ICT,6.0
13-Jan-26 7:00:00 AM ICT,6.0
13-Jan-26 8:00:00 AM ICT,6.0
13-Jan-26 9:00:00 AM ICT,6.0
13-Jan-26 10:00:00 AM ICT,6.0
13-Jan-26 11:00:00 AM ICT,6.0
13-Jan-26 12:00:00 PM ICT,6.0
13-Jan-26 1:00:00 PM ICT,6.0
13-Jan-26 2:00:00 PM ICT,6.0
13-Jan-26 3:00:00 PM ICT,6.0
13-Jan-26 4:00:00 PM ICT,6.0
13-Jan-26 5:00:00 PM ICT,6.0
13-Jan-26 6:00:00 PM ICT,6.0
13-Jan-26 7:00:00 PM ICT,6.0
13-Jan-26 8:00:00 PM ICT,6.0
13-Jan-26 9:00:00 PM ICT,6.0
13-Jan-26 10:00:00 PM ICT,6.0
13-Jan-26 11:00:00 PM ICT,6.0
14-Jan-26 12:00:00 AM ICT,6.0
14-Jan-26 1:00:00 AM ICT,6.0
14-Jan-26 2:00:00 AM ICT,6.0
14-Jan-26 3:00:00 AM ICT,6.0
14-Jan-26 4:00:00 AM ICT,6.0
14-Jan-26 5:00:00 AM ICT,6.0
14-Jan-26 6:00:00 AM ICT,6.0
14-Jan-26 7:00:00 AM ICT,6.0
14-Jan-26 8:00:00 AM ICT,6.0
14-Jan-26 9:00:00 AM ICT,6.0
14-Jan-26 10:00:00 AM ICT,6.0
14-Jan-26 11:00:00 AM ICT,6.0
14-Jan-26 12:00:00 PM ICT,6.0
14-Jan-26 1:00:00 PM ICT,6.0
14-Jan-26 2:00:00 PM ICT,6.0
14-Jan-26 3:00:00 PM ICT,6.0
14-Jan-26 4:00:00 PM ICT,6.0
14-Jan-26 5:00:00 PM ICT,6.0
14-Jan-26 6:00:00 PM ICT,6.0
14-Jan-26 7:00:00 PM ICT,6.0
14-Jan-26 8:00:00 PM ICT,6.0
14-Jan-26 9:00:00 PM ICT,6.0
14-Jan-26 10:00:00 PM ICT,6.0
14-Jan-26 11:00:00 PM ICT,6.0
15-Jan-26 12:00:00 AM ICT,6.0
15-Jan-26 1:00:00 AM ICT,6.0
15-Jan-26 2:00:00 AM ICT,6.0
15-Jan-26 3:00:00 AM ICT,6.0
15-Jan-26 4:00:00 AM ICT,6.0
15-Jan-26 5:00:00 AM ICT,6.0
15-Jan-26 6:00:00 AM ICT,6.0
15-Jan-26 7:00:00 AM ICT,6.0
15-Jan-26 8:00:00 AM ICT,6.0
15-Jan-26 9:00:00 AM ICT,6.0
15-Jan-26 10:00:00 AM ICT,6.0
15-Jan-26 11:00:00 AM ICT,6.0
15-Jan-26 12:00:00 PM ICT,6.0
15-Jan-26 1:00:00 PM ICT,6.0
15-Jan-26 2:00:00 PM ICT,6.0
15-Jan-26 3:00:00 PM ICT,6.0
15-Jan-26 4:00:00 PM ICT,6.0
15-Jan-26 5:00:00 PM ICT,6.0
15-Jan-26 6:00:00 PM ICT,6.0
15-Jan-26 7:00:00 PM ICT,6.0
15-Jan-26 8:00:00 PM ICT,6.0
15-Jan-26 9:00:00 PM ICT,6.0
15-Jan-26 10:00:00 PM ICT,6.0
15-Jan-26 11:00:00 PM ICT,6.0
16-Jan-26 12:00:00 AM ICT,6.0
16-Jan-26 1:00:00 AM ICT,6.0
16-Jan-26 2:00:00 AM ICT,6.0
16-Jan-26 3:00:00 AM ICT,6.0
16-Jan-26 4:00:00 AM ICT,6.0
16-Jan-26 5:00:00 AM ICT,6.0
16-Jan-26 6:00:00 AM ICT,6.0
16-Jan-26 7:00:00 AM ICT,6.0
16-Jan-26 8:00:00 AM ICT,6.0
16-Jan-26 9:00:00 AM ICT,6.0
16-Jan-26 10:00:00 AM ICT,6.0
16-Jan-26 11:00:00 AM ICT,6.0
16-Jan-26 12:00:00 PM ICT,6.0
16-Jan-26 1:00:00 PM ICT,6.0
16-Jan-26 2:00:00 PM ICT,6.0
16-Jan-26 3:00:00 PM ICT,6.0
16-Jan-26 4:00:00 PM ICT,6.0
16-Jan-26 5:00:00 PM ICT,6.0
16-Jan-26 6:00:00 PM ICT,6.0
17-Jan-26 3:00:00 PM ICT,6.0
17-Jan-26 4:00:00 PM ICT,6.0
17-Jan-26 5:00:00 PM ICT,6.0
17-Jan-26 6:00:00 PM ICT,6.0
17-Jan-26 7:00:00 PM ICT,6.0
17-Jan-26 8:00:00 PM ICT,6.0
17-Jan-26 9:00:00 PM ICT,6.0
17-Jan-26 10:00:00 PM ICT,6.0
17-Jan-26 11:00:00 PM ICT,6.0
18-Jan-26 12:00:00 AM ICT,6.0
18-Jan-26 1:00:00 AM ICT,6.0
