,,,,,,,,,
,Channel Runtime,,,,,,,,
,,,,,,,,,
,Report Generation Time:,,"Friday, March 27, 2026 9:59 AM",,,,,,
,,,,,,,,,
,Site:,,Untitled,,,,,,
,,,,,,,,,
,Reporting Period Start Time:,,"Thursday, January 1, 2026 12:00 AM",,,,,,
,,,,,,,,,
,Reporting Period End Time:,,"Friday, March 27, 2026 9:59 AM",,,,,,
,,,,,,,,,
,Reporting Period Duration:,,12 weeks 1 day,,,,,,
,,,,,,,,,
,Fixture Name,Area Name,,Circuit Name,Hours On In Period,,Notional Energy (kWh),Hours On Running Total,Lamp Life Remaining
,Area 10 LCP-IW(OF)-01,,,,,,,,
,Box:2 PC:9,Area 2  LCP-OW-01,,Z1,No data,,8.688,No data,"20,000"
,Box:2 PC:9,Area 2  LCP-OW-01,,Z1,No data,,8.688,No data,"20,000"
,Box:2 PC:9,Area 2  LCP-OW-01,,Z1,No data,,8.688,No data,"20,000"
,Box:2 PC:9,Area 2  LCP-OW-01,,Z1,No data,,8.688,No data,"20,000"
,Box:2 PC:9,Area 2  LCP-OW-01,,Z1,No data,,8.688,No data,"20,000"
,Box:2 PC:9,Area 2  LCP-OW-01,,Z1,No data,,8.688,No data,"20,000"
,Box:2 PC:9,Area 2  LCP-OW-01,,Z1,No data,,8.688,No data,"20,000"
,Area 3 ELCP-OW-01,,,,,,,,
,Box:3 PC:1,Area 3 ELCP-OW-01,,Y22,No data,,11.279,No data,"20,000"
,Box:3 PC:1,Area 3 ELCP-OW-01,,Y22,No data,,11.279,No data,"20,000"
,Box:3 PC:1,Area 3 ELCP-OW-01,,Y22,No data,,11.279,No data,"20,000"
,Box:3 PC:1,Area 3 ELCP-OW-01,,Y22,No data,,11.279,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:2,Area 3 ELCP-OW-01,,Z22,No data,,12.25,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:3,Area 3 ELCP-OW-01,,A2,No data,,12.433,No data,"20,000"
,Box:3 PC:4,Area 3 ELCP-OW-01,,B2,No data,,11.703,No data,"20,000"
,Box:3 PC:4,Area 3 ELCP-OW-01,,B2,No data,,11.703,No data,"20,000"
,Box:3 PC:4,Area 3 ELCP-OW-01,,B2,No data,,11.703,No data,"20,000"
,Box:3 PC:4,Area 3 ELCP-OW-01,,B2,No data,,11.703,No data,"20,000"
,Box:3 PC:4,Area 3 ELCP-OW-01,,B2,No data,,11.703,No data,"20,000"
,Box:3 PC:4,Area 3 ELCP-OW-01,,B2,No data,,11.703,No data,"20,000"
,Box:3 PC:4,Area 3 ELCP-OW-01,,B2,No data,,11.703,No data,"20,000"
,Box:3 PC:4,Area 3 ELCP-OW-01,,B2,No data,,11.703,No data,"20,000"
,Box:3 PC:4,Area 3 ELCP-OW-01,,B2,No data,,11.703,No data,"20,000"
,Box:3 PC:4,Area 3 ELCP-OW-01,,B2,No data,,11.703,No data,"20,000"
,Box:3 PC:4,Area 3 ELCP-OW-01,,B2,No data,,11.703,No data,"20,000"
,Box:3 PC:4,Area 3 ELCP-OW-01,,B2,No data,,11.703,No data,"20,000"
,Box:3 PC:6,Area 3 ELCP-OW-01,,D2,No data,,8.162,No data,"20,000"
,Box:3 PC:6,Area 3 ELCP-OW-01,,D2,No data,,8.162,No data,"20,000"
,Box:3 PC:6,Area 3 ELCP-OW-01,,D2,No data,,8.162,No data,"20,000"
,Box:3 PC:6,Area 3 ELCP-OW-01,,D2,No data,,8.162,No data,"20,000"
,Box:3 PC:6,Area 3 ELCP-OW-01,,D2,No data,,8.162,No data,"20,000"
,Box:3 PC:6,Area 3 ELCP-OW-01,,D2,No data,,8.162,No data,"20,000"
,Area 4 LCP-HR-01,,,,,,,,
,Box:4 PC:1,Area 4 LCP-HR-01,,S11,No data,,8.625,No data,"20,000"
,Box:4 PC:1,Area 4 LCP-HR-01,,S11,No data,,8.625,No data,"20,000"
,Box:4 PC:1,Area 4 LCP-HR-01,,S11,No data,,8.625,No data,"20,000"
,Box:4 PC:1,Area 4 LCP-HR-01,,S11,No data,,8.625,No data,"20,000"
,Box:4 PC:1,Area 4 LCP-HR-01,,S11,No data,,8.625,No data,"20,000"
