Request State,TTR(hr),Machine ID,Machine Name,Request ID,Requester,WO ID,Description,Location,JobTrade,JobTypeId,WorkerG,Worker,Priority
Finished,20 hr 53 min,ENUT-240188,Condencer Unit No.29 (Air Blast Freezer2),MNT-00004232,1900231,WRKO-00005059,Air blast 2 คอม No.2 ผิดปกติ,Buiding1,Cooling machine,Inspection,ENG,"",1
Finished,,ENUT-240188,Condencer Unit No.29 (Air Blast Freezer2),MNT-00004304,1900231,WRKO-00005148,ท่อน้ำยาแอร์บลาส 2 มีรั่วซึม,Buiding1,Cooling machine,Inspection,ENG,"",1
Finished,30 hr 17 min,ENUT-240192,Condencer Unit No.33 (Ice Maker),MNT-00004175,1900175,WRKO-00004996,แก้ไขเครื่องทำน้ำแข็งเก่า มีรอยบิ่นจากด้านใน,Buiding1,Production Machine,Inspection,ENG,"",4
Finished,167 hr 56 min,ENWA-240004,Store Office,MNT-00004106,1900132,WRKO-00004919,ไฟลานโหลดใหญ่ฝั่งดิบเสีย,Work Area,Electrical system,Inspection,ENG,"",1
Finished,127 hr 39 min,ENWA-240004,Store Office,MNT-00004108,1900132,WRKO-00004921,สนิมตรงที่โหลดใหญ่ฝั่งดิบ,Work Area,ฺBuilding,Inspection,ENG,"",1
Finished,10 hr 48 min,ENWA-240004,Store Office,MNT-00004109,1900132,WRKO-00004922,ม่านประตูเข้าโหลนใหญ่ขาด1แผ่น,Work Area,Tool and Equipment,Inspection,ENG,"",1
Finished,13 hr 30 min,ENWA-240004,Store Office,MNT-00004110,1900132,WRKO-00004923,ประตู cold7 ฝั่งดิบตกราง,Work Area,ฺBuilding,Inspection,ENG,"",1
Finished,12 hr 26 min,ENWA-240004,Store Office,MNT-00004111,1900132,WRKO-00004924,ประตูห้อง Chill ฝั่งดิบเปิดไม่สุดและปิดไม่ค่อยสนิท,Work Area,ฺBuilding,Inspection,ENG,"",1
Finished,29 hr 7 min,ENWA-240004,Store Office,MNT-00004168,1900271,WRKO-00004987,แจ้งซ่อมสริงอ่างล้างมือสโตร์ค้าง49,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,137 hr 4 min,ENWA-240004,Store Office,MNT-00004263,1900271,WRKO-00005099,แจ้งซ่อมแผ่นยางกั้นขอบประตูห้องถุงสโตร์,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,104 hr 15 min,ENWA-240004,Store Office,MNT-00004267,1900271,WRKO-00005103,แจ้งซ่อมหลอดไฟเสีย 2 หลอด ที่ห้องเก็บกล่องสโตร์,Work Area,Electrical system,Inspection,ENG,"",1
Finished,693 hr 43 min,ENWA-240008,Producton High Risk,MNT-00004087,1900209,WRKO-00004902,แจ้งแก้ไขแอร์ห้อง packaging store มีเสียงดังผิดปกติ,Work Area,Air Condition,Inspection,ENG,"",1
Finished,11 hr 3 min,ENWA-240008,Producton High Risk,MNT-00004099,1900224,WRKO-00004914,แก้ไขท่อระบายน้ำตัน ห้องแพ็คฝั่งสุก,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,7 hr 26 min,ENWA-240008,Producton High Risk,MNT-00004102,1900175,WRKO-00004916,เปลี่ยนหลอดไฟ ห้องแต่งตัวฝั่งสุก,Work Area,Electrical system,Inspection,ENG,"",4
Finished,38 hr 31 min,ENWA-240008,Producton High Risk,MNT-00004105,1900254,WRKO-00004918,สายฉีดห้องน้ำหญิงฝั่งสุกหลุดเบอร์10,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,618 hr 25 min,ENWA-240008,Producton High Risk,MNT-00004136,1900175,WRKO-00004965,แก้ไขสนิมแอร์ fcu 44 ห้องholding chill ฝั่งสุก,Work Area,Air Condition,Inspection,ENG,"",4
Finished,366 hr 8 min,ENWA-240008,Producton High Risk,MNT-00004137,1900175,WRKO-00004966,แก้ไขคราบสนิมบนเพดาน บริเวณใกล้แอร์ fcu 44 ห้องholding chill,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,83 hr 29 min,ENWA-240008,Producton High Risk,MNT-00004139,1900175,WRKO-00004968,เปลี่ยนฝาครอบสวิชต์ไฟ หน้าประตูทางไปblast freezer 1,Work Area,Electrical system,Inspection,ENG,"",4
Finished,28 hr 37 min,ENWA-240008,Producton High Risk,MNT-00004166,1900175,WRKO-00004985,ประตูchill2 ฝั่งสุก ประตูหลุดจากราง,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,21 hr 49 min,ENWA-240008,Producton High Risk,MNT-00004169,1900175,WRKO-00004988,แก้ไขน้ำหยดจากหลอดไฟ ห้อง holding chill ฝั่งสุก,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,17 hr 43 min,ENWA-240008,Producton High Risk,MNT-00004170,1900254,WRKO-00004989,ฝาชักโครกห้องน้ำชายฝั่งสุกหลุดเบอร์5,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,16 hr 8 min,ENWA-240008,Producton High Risk,MNT-00004171,1900254,WRKO-00004990,สายฉีดก้นห้องน้ำชายฝั่งสุกหลุดเบอร์2,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,265 hr 15 min,ENWA-240008,Producton High Risk,MNT-00004189,1900175,WRKO-00005014,เก็บสายไฟประตูแอนตี้บลาส 1ฝั่งสุก,Work Area,Electrical system,Inspection,ENG,"",4
Finished,,ENWA-240008,Producton High Risk,MNT-00004196,1900175,WRKO-00005023,แก้ไขพื้นแตกบริเวณประตูและในห้อง blast chill 2 ฝั่งสุก,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,,ENWA-240008,Producton High Risk,MNT-00004197,1900175,WRKO-00005024,ซ่อมหลอดไฟในholding ชำรุดหลายหลอด,Work Area,Electrical system,Inspection,ENG,"",4
Finished,19 hr 7 min,ENWA-240008,Producton High Risk,MNT-00004198,1900175,WRKO-00005025,แก้ไขรถทอยเลย์ล้อชำรุด ฝั่งสุก,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,24 hr 35 min,ENWA-240008,Producton High Risk,MNT-00004199,1900175,WRKO-00005026,แก้ไขพื้น blast chill 1 ฝั่งสุก พื้นนูนทำให้ปิดประตูไม่ได้,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,60 hr 25 min,ENWA-240008,Producton High Risk,MNT-00004205,1900175,WRKO-00005032,ทำฐานวางกิโลใหญ่ ฝั่งสุก,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,327 hr 39 min,ENWA-240008,Producton High Risk,MNT-00004207,1900175,WRKO-00005034,ทาสีทับรอยน้ำหมึกปากกาผนังในไลน์ assembly  ฝั่งสุก,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,23 hr 19 min,ENWA-240008,Producton High Risk,MNT-00004211,1900175,WRKO-00005038,แก้ไขหลอดไฟชำรุด ไลน์ Assembly,Work Area,Electrical system,Inspection,ENG,"",4
Finished,,ENWA-240008,Producton High Risk,MNT-00004212,1900175,WRKO-00005039,เปลี่ยนหลอดไฟ Holding chill room ฝั่งสุก,Work Area,Electrical system,Inspection,ENG,"",4
Finished,302 hr 42 min,ENWA-240008,Producton High Risk,MNT-00004218,1900175,WRKO-00005010,แก้ไขAir blast3 พื้นแตก,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,335 hr 13 min,ENWA-240008,Producton High Risk,MNT-00004224,1900175,WRKO-00005051,เปลี่ยนปลั๊กและตัวครอบสายไฟ หน้าห้องสตีม ฝั่งสุก,Work Area,Electrical system,Inspection,ENG,"",4
Finished,204 hr 1 min,ENWA-240008,Producton High Risk,MNT-00004225,1900175,WRKO-00005052,แก้ไขอ่างล้างมือรั่ว จุดรับของฝั่งสุก,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,313 hr 23 min,ENWA-240008,Producton High Risk,MNT-00004230,1900175,WRKO-00005057,แก้ไขราวกั้นขอบบัวหลุด หน้า blast chill 1 ฝั่งสุก,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,34 hr 18 min,ENWA-240008,Producton High Risk,MNT-00004244,1900254,WRKO-00005070,ห้องน้ำหญิงฝั่งสุกเบอร์12น้ำไม่ขึ้น,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,133 hr 57 min,ENWA-240008,Producton High Risk,MNT-00004252,1900175,WRKO-00005085,แก้ไข ประตู blast freezer 3 เปิดยาก ฝั่งสุก,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,254 hr 16 min,ENWA-240008,Producton High Risk,MNT-00004253,1900175,WRKO-00005086,แก้ไขที่กันด้านบนประตู blast feezer 2 หลุดฝั่งสุก,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,107 hr 28 min,ENWA-240008,Producton High Risk,MNT-00004269,1900175,WRKO-00005104,ท่อน้ำล่างอ่างมือ ในใลน์ฝั่งสุก มีน้ำรั่วจากเพดาน,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,7 hr 5 min,ENWA-240008,Producton High Risk,MNT-00004273,1900175,WRKO-00005108,แก้ไขประตู blast chill 1 ประตูเปิดไม่ได้,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,60 hr 3 min,ENWA-240008,Producton High Risk,MNT-00004275,1900175,WRKO-00005110,แก่ไขน้ำหยด อ่างล้างมือ จุดรับของฝั่งสุก,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,182 hr 11 min,ENWA-240008,Producton High Risk,MNT-00004276,1900175,WRKO-00005111,แก้ไข น้ำหยดจากเพดาน ท้ายไลน์ assembly,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,110 hr 10 min,ENWA-240008,Producton High Risk,MNT-00004277,1900175,WRKO-00005112,แก้ไขพื้นแตกบริเวณขอบท่อระบายน้ำ ห้องสตีม,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,62 hr 20 min,ENWA-240008,Producton High Risk,MNT-00004285,1900175,WRKO-00005122,แก้ไขราวจับทางออกฝั่งสุก ตัวยึดราวจับชำรุด,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,,ENWA-240008,Producton High Risk,MNT-00004298,1900231,WRKO-00005139,ต่อลม ต่อเครื่อง Mobile ของ Ecolap  พ่นน้ำยาฆ่า,Work Area,Tool and Equipment,Inspection,HRGA,"",1
Finished,21 hr 41 min,ENWA-240008,Producton High Risk,MNT-00004305,1900175,WRKO-00005153,แก้ไข พื้นแตกจากการซ่อมราวเหล็ก บริเวณทางออกไลน์ฝั่งสุก,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,23 hr 19 min,ENWA-240008,Producton High Risk,MNT-00004306,1900175,WRKO-00005154,แก้ไข หลอดไฟไลน์ผลิตฝั่งสุกเสีย Cl-032 cl-025 cl-029,Work Area,Electrical system,Inspection,ENG,"",4
