Timestamp,PT102ROWaterSupply_Pres(bar)
03-Feb-26 9:00:00 AM ICT,6.5
03-Feb-26 9:30:00 AM ICT,6.5
03-Feb-26 10:00:00 AM ICT,6.5
03-Feb-26 10:30:00 AM ICT,6.5
03-Feb-26 11:00:00 AM ICT,6.5
03-Feb-26 11:30:00 AM ICT,6.5
03-Feb-26 12:00:00 PM ICT,6.5
03-Feb-26 12:30:00 PM ICT,6.5
03-Feb-26 1:00:00 PM ICT,6.5
03-Feb-26 1:30:00 PM ICT,6.5
03-Feb-26 2:00:00 PM ICT,6.5
03-Feb-26 2:30:00 PM ICT,6.5
03-Feb-26 3:00:00 PM ICT,6.5
03-Feb-26 3:30:00 PM ICT,6.5
03-Feb-26 4:00:00 PM ICT,6.5
03-Feb-26 4:30:00 PM ICT,6.5
03-Feb-26 5:00:00 PM ICT,6.5
03-Feb-26 5:30:00 PM ICT,6.5
03-Feb-26 6:00:00 PM ICT,6.5
03-Feb-26 6:30:00 PM ICT,6.5
03-Feb-26 7:00:00 PM ICT,5.7
03-Feb-26 7:30:00 PM ICT,3.4
03-Feb-26 8:00:00 PM ICT,6.5
03-Feb-26 8:30:00 PM ICT,4.2
03-Feb-26 9:00:00 PM ICT,5.6
03-Feb-26 9:30:00 PM ICT,6.1
03-Feb-26 10:00:00 PM ICT,3.7
03-Feb-26 10:30:00 PM ICT,2.5
03-Feb-26 11:00:00 PM ICT,5.0
03-Feb-26 11:30:00 PM ICT,6.5
04-Feb-26 12:00:00 AM ICT,6.0
04-Feb-26 12:30:00 AM ICT,4.5
04-Feb-26 1:00:00 AM ICT,4.0
04-Feb-26 1:30:00 AM ICT,4.9
04-Feb-26 2:00:00 AM ICT,5.2
04-Feb-26 2:30:00 AM ICT,3.5
04-Feb-26 3:00:00 AM ICT,4.0
04-Feb-26 3:30:00 AM ICT,6.5
04-Feb-26 4:00:00 AM ICT,4.2
04-Feb-26 4:30:00 AM ICT,4.3
04-Feb-26 5:00:00 AM ICT,6.5
04-Feb-26 5:30:00 AM ICT,5.4
04-Feb-26 6:00:00 AM ICT,3.6
04-Feb-26 6:30:00 AM ICT,4.7
04-Feb-26 7:00:00 AM ICT,6.5
04-Feb-26 7:30:00 AM ICT,6.5
04-Feb-26 8:00:00 AM ICT,6.5
04-Feb-26 8:30:00 AM ICT,6.5
04-Feb-26 9:00:00 AM ICT,6.5
04-Feb-26 9:30:00 AM ICT,6.5
04-Feb-26 10:00:00 AM ICT,6.5
04-Feb-26 10:30:00 AM ICT,6.5
04-Feb-26 11:00:00 AM ICT,6.5
04-Feb-26 11:30:00 AM ICT,6.5
04-Feb-26 12:00:00 PM ICT,6.5
04-Feb-26 12:30:00 PM ICT,6.5
04-Feb-26 1:00:00 PM ICT,6.5
04-Feb-26 1:30:00 PM ICT,6.5
04-Feb-26 2:00:00 PM ICT,6.5
04-Feb-26 2:30:00 PM ICT,6.5
04-Feb-26 3:00:00 PM ICT,6.5
04-Feb-26 3:30:00 PM ICT,6.5
04-Feb-26 4:00:00 PM ICT,6.5
04-Feb-26 4:30:00 PM ICT,6.5
04-Feb-26 5:00:00 PM ICT,6.5
04-Feb-26 5:30:00 PM ICT,6.5
04-Feb-26 6:00:00 PM ICT,6.5
04-Feb-26 6:30:00 PM ICT,6.5
04-Feb-26 7:00:00 PM ICT,5.3
04-Feb-26 7:30:00 PM ICT,2.0
04-Feb-26 8:00:00 PM ICT,6.6
04-Feb-26 8:30:00 PM ICT,4.3
04-Feb-26 9:00:00 PM ICT,4.2
04-Feb-26 9:30:00 PM ICT,5.0
04-Feb-26 10:00:00 PM ICT,6.0
04-Feb-26 10:30:00 PM ICT,2.4
04-Feb-26 11:00:00 PM ICT,3.0
04-Feb-26 11:30:00 PM ICT,4.2
05-Feb-26 12:00:00 AM ICT,5.2
05-Feb-26 12:30:00 AM ICT,2.5
05-Feb-26 1:00:00 AM ICT,6.5
05-Feb-26 1:30:00 AM ICT,4.1
05-Feb-26 2:00:00 AM ICT,5.0
05-Feb-26 2:30:00 AM ICT,5.7
05-Feb-26 3:00:00 AM ICT,3.1
05-Feb-26 3:30:00 AM ICT,4.2
05-Feb-26 4:00:00 AM ICT,4.3
05-Feb-26 4:30:00 AM ICT,5.4
05-Feb-26 5:00:00 AM ICT,5.8
05-Feb-26 5:30:00 AM ICT,4.3
05-Feb-26 6:00:00 AM ICT,6.3
05-Feb-26 6:30:00 AM ICT,7.9
05-Feb-26 7:00:00 AM ICT,7.9
05-Feb-26 7:30:00 AM ICT,8.1
05-Feb-26 8:00:00 AM ICT,7.3
05-Feb-26 8:30:00 AM ICT,3.0
05-Feb-26 9:00:00 AM ICT,2.3
05-Feb-26 9:30:00 AM ICT,6.5
05-Feb-26 10:00:00 AM ICT,6.5
05-Feb-26 10:30:00 AM ICT,6.5
05-Feb-26 11:00:00 AM ICT,6.5
05-Feb-26 11:30:00 AM ICT,6.5
05-Feb-26 12:00:00 PM ICT,6.5
05-Feb-26 12:30:00 PM ICT,6.5
05-Feb-26 1:00:00 PM ICT,6.5
05-Feb-26 1:30:00 PM ICT,6.5
05-Feb-26 2:00:00 PM ICT,6.5
05-Feb-26 2:30:00 PM ICT,6.5
05-Feb-26 3:00:00 PM ICT,6.5
05-Feb-26 3:30:00 PM ICT,6.5
05-Feb-26 4:00:00 PM ICT,6.5
05-Feb-26 4:30:00 PM ICT,6.5
05-Feb-26 5:00:00 PM ICT,6.5
05-Feb-26 5:30:00 PM ICT,6.5
05-Feb-26 6:00:00 PM ICT,6.5
05-Feb-26 6:30:00 PM ICT,6.5
05-Feb-26 7:00:00 PM ICT,6.5
05-Feb-26 7:30:00 PM ICT,6.5
05-Feb-26 8:00:00 PM ICT,6.5
05-Feb-26 8:30:00 PM ICT,6.5
05-Feb-26 9:00:00 PM ICT,5.1
05-Feb-26 9:30:00 PM ICT,6.5
05-Feb-26 10:00:00 PM ICT,6.5
05-Feb-26 10:30:00 PM ICT,6.5
05-Feb-26 11:00:00 PM ICT,6.5
05-Feb-26 11:30:00 PM ICT,6.5
06-Feb-26 12:00:00 AM ICT,6.5
06-Feb-26 12:30:00 AM ICT,6.5
06-Feb-26 1:00:00 AM ICT,6.5
06-Feb-26 1:30:00 AM ICT,6.5
06-Feb-26 2:00:00 AM ICT,6.5
06-Feb-26 2:30:00 AM ICT,6.5
06-Feb-26 3:00:00 AM ICT,6.5
06-Feb-26 3:30:00 AM ICT,6.5
06-Feb-26 4:00:00 AM ICT,6.5
06-Feb-26 4:30:00 AM ICT,6.5
06-Feb-26 5:00:00 AM ICT,6.5
06-Feb-26 5:30:00 AM ICT,6.5
06-Feb-26 6:00:00 AM ICT,6.5
06-Feb-26 6:30:00 AM ICT,6.5
06-Feb-26 7:00:00 AM ICT,7.3
06-Feb-26 7:30:00 AM ICT,6.5
