Request State,TTR(hr),Machine ID,Machine Name,Request ID,Requester,WO ID,Description,Location,JobTrade,JobTypeId,Responsible,WorkerG,Priority,Month,Day,Month,Day
Finished,,ENWA-240005,Engineering Office,MNT-00004552,1900231,WRKO-00005420,ปั๊มคลอรีนรั่ว,Work Area,Tool and Equipment,Inspection,"",ENG,1,March,2,March,1
Finished,11 hr 17 min,ENWA-240010,Producton Medium Risk,MNT-00004160,1900118,WRKO-00004991,ปลั๊กไม่มีไฟ,Work Area,Electrical system,Inspection,"",ENG,1,January,8,January,8
Finished,11 hr 10 min,ENWA-240009,Producton Low Risk,MNT-00004162,1900118,WRKO-00004992,ปลั๊กไม่มีไฟ,Work Area,Electrical system,Inspection,"",ENG,1,January,8,January,8
Finished,206 hr 27 min,ENWA-240009,Producton Low Risk,MNT-00004417,1900254,WRKO-00005279,ประตูห้องน้ำชายฝั่งดิบหลุด,Work Area,ฺBuilding,Inspection,"",ENG,4,February,12,February,20
Finished,12 hr 26 min,ENWA-240004,Store Office,MNT-00004111,1900132,WRKO-00004924,ประตูห้อง Chill ฝั่งดิบเปิดไม่สุดและปิดไม่ค่อยสนิท,Work Area,ฺBuilding,Inspection,"",ENG,1,January,6,January,6
Finished,62 hr 17 min,ENWA-240004,Store Office,MNT-00004556,1900018,WRKO-00005426,ประตูห้อง chill  ฝั่งดิบประตูปิดเปิดไม่ได้ค่ะ,Work Area,Tool and Equipment,Inspection,"",ENG,4,March,3,March,5
Finished,29 hr 40 min,ENWA-240017,Canteen,MNT-00004103,1900254,WRKO-00004917,ประตูโรงอาหารฝั่งสุกปิดไม่ใด้,Work Area,ฺBuilding,Inspection,"",ENG,4,January,5,January,6
Finished,28 hr 37 min,ENWA-240008,Producton High Risk,MNT-00004166,1900175,WRKO-00004985,ประตูchill2 ฝั่งสุก ประตูหลุดจากราง,Work Area,ฺBuilding,Inspection,"",ENG,4,January,8,January,9
Finished,13 hr 30 min,ENWA-240004,Store Office,MNT-00004110,1900132,WRKO-00004923,ประตู cold7 ฝั่งดิบตกราง,Work Area,ฺBuilding,Inspection,"",ENG,1,January,6,January,6
Finished,61 hr 30 min,ENWA-240010,Producton Medium Risk,MNT-00004473,1900254,WRKO-00005339,น้ำไหลไม่หยุด,Work Area,Tool and Equipment,Inspection,"",ENG,4,February,21,February,23
