Timestamp,FIT-103-ROWaterSupply_Total(m³)
15-Jan-26 7:00:00 AM ICT,301.0
15-Jan-26 8:00:00 AM ICT,301.0
15-Jan-26 9:00:00 AM ICT,301.0
15-Jan-26 10:00:00 AM ICT,301.0
15-Jan-26 11:00:00 AM ICT,301.0
15-Jan-26 12:00:00 PM ICT,301.0
15-Jan-26 1:00:00 PM ICT,301.0
15-Jan-26 2:00:00 PM ICT,301.0
15-Jan-26 3:00:00 PM ICT,301.0
15-Jan-26 4:00:00 PM ICT,301.0
15-Jan-26 5:00:00 PM ICT,301.0
15-Jan-26 6:00:00 PM ICT,301.0
15-Jan-26 7:00:00 PM ICT,301.0
15-Jan-26 8:00:00 PM ICT,301.0
15-Jan-26 9:00:00 PM ICT,301.0
15-Jan-26 10:00:00 PM ICT,301.0
15-Jan-26 11:00:00 PM ICT,301.0
16-Jan-26 12:00:00 AM ICT,301.0
16-Jan-26 1:00:00 AM ICT,301.0
16-Jan-26 2:00:00 AM ICT,301.0
16-Jan-26 3:00:00 AM ICT,301.0
16-Jan-26 4:00:00 AM ICT,301.0
16-Jan-26 5:00:00 AM ICT,301.0
16-Jan-26 6:00:00 AM ICT,301.0
16-Jan-26 7:00:00 AM ICT,301.0
16-Jan-26 8:00:00 AM ICT,301.0
16-Jan-26 9:00:00 AM ICT,301.0
16-Jan-26 10:00:00 AM ICT,301.0
16-Jan-26 11:00:00 AM ICT,301.5
16-Jan-26 12:00:00 PM ICT,302.0
16-Jan-26 1:00:00 PM ICT,303.0
16-Jan-26 2:00:00 PM ICT,303.5
16-Jan-26 3:00:00 PM ICT,304.0
16-Jan-26 4:00:00 PM ICT,305.0
16-Jan-26 5:00:00 PM ICT,305.0
16-Jan-26 6:00:00 PM ICT,305.0
17-Jan-26 3:00:00 PM ICT,313.0
17-Jan-26 4:00:00 PM ICT,313.8
17-Jan-26 5:00:00 PM ICT,315.8
17-Jan-26 6:00:00 PM ICT,316.0
17-Jan-26 7:00:00 PM ICT,316.0
17-Jan-26 8:00:00 PM ICT,316.0
17-Jan-26 9:00:00 PM ICT,316.0
17-Jan-26 10:00:00 PM ICT,316.0
17-Jan-26 11:00:00 PM ICT,316.0
18-Jan-26 12:00:00 AM ICT,316.0
18-Jan-26 1:00:00 AM ICT,316.0
18-Jan-26 2:00:00 AM ICT,316.0
18-Jan-26 3:00:00 AM ICT,316.0
18-Jan-26 4:00:00 AM ICT,316.0
18-Jan-26 5:00:00 AM ICT,316.0
18-Jan-26 6:00:00 AM ICT,316.0
18-Jan-26 7:00:00 AM ICT,316.0
18-Jan-26 8:00:00 AM ICT,316.0
18-Jan-26 9:00:00 AM ICT,316.0
18-Jan-26 10:00:00 AM ICT,316.0
18-Jan-26 11:00:00 AM ICT,316.0
18-Jan-26 12:00:00 PM ICT,316.0
18-Jan-26 1:00:00 PM ICT,316.0
18-Jan-26 2:00:00 PM ICT,316.0
18-Jan-26 3:00:00 PM ICT,316.0
18-Jan-26 4:00:00 PM ICT,316.0
18-Jan-26 5:00:00 PM ICT,316.0
18-Jan-26 6:00:00 PM ICT,316.0
18-Jan-26 7:00:00 PM ICT,316.0
18-Jan-26 8:00:00 PM ICT,316.0
18-Jan-26 9:00:00 PM ICT,316.0
18-Jan-26 10:00:00 PM ICT,316.0
18-Jan-26 11:00:00 PM ICT,316.0
19-Jan-26 12:00:00 AM ICT,316.0
19-Jan-26 1:00:00 AM ICT,316.0
19-Jan-26 2:00:00 AM ICT,316.0
19-Jan-26 3:00:00 AM ICT,316.0
19-Jan-26 4:00:00 AM ICT,316.0
19-Jan-26 5:00:00 AM ICT,317.0
19-Jan-26 6:00:00 AM ICT,317.0
19-Jan-26 7:00:00 AM ICT,317.0
19-Jan-26 8:00:00 AM ICT,317.8
19-Jan-26 9:00:00 AM ICT,318.3
19-Jan-26 10:00:00 AM ICT,319.3
19-Jan-26 11:00:00 AM ICT,320.3
19-Jan-26 12:00:00 PM ICT,321.0
19-Jan-26 1:00:00 PM ICT,321.3
19-Jan-26 2:00:00 PM ICT,322.3
19-Jan-26 3:00:00 PM ICT,323.0
19-Jan-26 4:00:00 PM ICT,323.3
19-Jan-26 5:00:00 PM ICT,324.0
19-Jan-26 6:00:00 PM ICT,324.0
19-Jan-26 7:00:00 PM ICT,324.0
19-Jan-26 8:00:00 PM ICT,324.0
19-Jan-26 9:00:00 PM ICT,324.0
19-Jan-26 10:00:00 PM ICT,324.0
19-Jan-26 11:00:00 PM ICT,325.0
20-Jan-26 12:00:00 AM ICT,325.0
20-Jan-26 1:00:00 AM ICT,325.0
20-Jan-26 2:00:00 AM ICT,325.0
20-Jan-26 3:00:00 AM ICT,325.0
20-Jan-26 4:00:00 AM ICT,325.0
20-Jan-26 5:00:00 AM ICT,325.0
20-Jan-26 6:00:00 AM ICT,325.0
20-Jan-26 7:00:00 AM ICT,325.0
20-Jan-26 8:00:00 AM ICT,325.0
20-Jan-26 9:00:00 AM ICT,325.0
20-Jan-26 10:00:00 AM ICT,325.0
20-Jan-26 11:00:00 AM ICT,325.0
20-Jan-26 12:00:00 PM ICT,327.0
20-Jan-26 1:00:00 PM ICT,327.3
20-Jan-26 2:00:00 PM ICT,328.0
20-Jan-26 3:00:00 PM ICT,328.0
20-Jan-26 4:00:00 PM ICT,328.8
20-Jan-26 5:00:00 PM ICT,329.0
20-Jan-26 6:00:00 PM ICT,329.5
20-Jan-26 7:00:00 PM ICT,330.0
20-Jan-26 8:00:00 PM ICT,330.5
20-Jan-26 9:00:00 PM ICT,331.0
20-Jan-26 10:00:00 PM ICT,331.8
20-Jan-26 11:00:00 PM ICT,332.0
21-Jan-26 12:00:00 AM ICT,332.0
21-Jan-26 1:00:00 AM ICT,333.0
21-Jan-26 2:00:00 AM ICT,333.0
21-Jan-26 3:00:00 AM ICT,334.0
21-Jan-26 4:00:00 AM ICT,334.0
21-Jan-26 5:00:00 AM ICT,334.0
21-Jan-26 6:00:00 AM ICT,334.8
21-Jan-26 7:00:00 AM ICT,335.0
21-Jan-26 8:00:00 AM ICT,335.0
21-Jan-26 9:00:00 AM ICT,336.0
21-Jan-26 10:00:00 AM ICT,339.3
21-Jan-26 11:00:00 AM ICT,340.3
21-Jan-26 12:00:00 PM ICT,342.8
21-Jan-26 1:00:00 PM ICT,343.3
21-Jan-26 2:00:00 PM ICT,344.3
21-Jan-26 3:00:00 PM ICT,346.0
21-Jan-26 4:00:00 PM ICT,347.0
21-Jan-26 5:00:00 PM ICT,347.8
21-Jan-26 6:00:00 PM ICT,348.8
21-Jan-26 7:00:00 PM ICT,349.0
21-Jan-26 8:00:00 PM ICT,349.0
21-Jan-26 9:00:00 PM ICT,349.0
21-Jan-26 10:00:00 PM ICT,349.0
21-Jan-26 11:00:00 PM ICT,349.0
22-Jan-26 12:00:00 AM ICT,349.0
22-Jan-26 1:00:00 AM ICT,349.0
22-Jan-26 2:00:00 AM ICT,349.0
22-Jan-26 3:00:00 AM ICT,349.0
22-Jan-26 4:00:00 AM ICT,349.0
22-Jan-26 5:00:00 AM ICT,349.0
22-Jan-26 6:00:00 AM ICT,349.5
22-Jan-26 7:00:00 AM ICT,350.0
22-Jan-26 8:00:00 AM ICT,350.0
22-Jan-26 9:00:00 AM ICT,350.0
22-Jan-26 10:00:00 AM ICT,350.3
22-Jan-26 11:00:00 AM ICT,352.3
22-Jan-26 12:00:00 PM ICT,354.0
22-Jan-26 1:00:00 PM ICT,354.8
22-Jan-26 2:00:00 PM ICT,355.8
22-Jan-26 3:00:00 PM ICT,356.3
22-Jan-26 4:00:00 PM ICT,357.0
22-Jan-26 5:00:00 PM ICT,357.0
22-Jan-26 6:00:00 PM ICT,357.0
22-Jan-26 7:00:00 PM ICT,357.0
22-Jan-26 8:00:00 PM ICT,357.0
22-Jan-26 9:00:00 PM ICT,357.0
22-Jan-26 10:00:00 PM ICT,357.0
22-Jan-26 11:00:00 PM ICT,357.0
23-Jan-26 12:00:00 AM ICT,357.0
23-Jan-26 1:00:00 AM ICT,357.0
23-Jan-26 2:00:00 AM ICT,357.0
