,INFEED CONVEYER,,,,,,,,,,,,,,OUTFEED CONVEYER,,,,,,,
TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,Belt Speed (Hz),,,,,,Operation time,Accumulate,Belt Speed (Hz),,,,,,
(hh:mm:ss),ALL,LINE 2,LINE 3,ALL,LINE 2,LINE 3,FREEZER CAPACITY,M04A,M04B,M07,M08,M09,M10,Hr.,Pcs/Day,M11,M12,M13,,,,
0:57:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:58:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
0:59:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:00:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:01:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:02:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:03:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:04:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:05:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:06:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:07:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:08:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:09:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:10:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:11:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:12:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:13:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:14:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:15:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:16:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:17:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:18:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:19:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:20:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:21:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:22:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:23:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:24:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:25:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:26:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:27:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:28:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:29:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:30:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:31:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
1:32:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
