,VOLTAGE,,,,,,CURRENT,,,,Power factor,,,Frequency,POWER,,,E (Into load),,,,
TIME,V L1-L2,V L2-L3,V L3-L1,V L1,V L2,V L3,I L1,I L2,I L3,I N,PL1,PL2,PL3,Frequency,P.,Q.,S.,Wh,,,,
(hh:mm:ss),V.,V.,V.,V.,V.,V.,A.,A.,A.,A.,,,,Hz,kW.,kVAR.,kVA.,kWh.,,,,
0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
3:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
6:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
8:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
9:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
10:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
11:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
12:00:00,399.2,401.4,399.2,229.8,231.5,231.2,1.2,1.2,1.3,0.5,0.2,0.3,0.6,50.04,0.312,-0.776,0.847,1794,,,,
13:00:01,395.9,398.3,395.9,227.9,229.8,229.5,1.2,1.2,1.3,0.5,0.2,0.3,0.6,49.97,0.305,-0.759,0.829,1794,,,,
14:00:00,394.3,396.4,393.9,226.9,228.9,228.3,1.2,1.2,1.3,0.6,0.2,0.3,0.6,49.97,0.3,-0.757,0.825,1795,,,,
15:00:00,396.9,399,396.6,228.4,230.3,229.7,1.2,1.2,1.5,1.2,0.2,0.3,0.9,49.95,0.459,-0.635,0.877,1795,,,,
